adieu	2479
adieu	1212
adipeux	45
adiposité	2
adire	9
adja	32
adjacence	1
adjacent	60
adjectif	4
adjectif	135
adjoindre	141
adjoint	290
adjoint	457
adjonction	17
adjudant-chef	120
adjudant	782
adjudication	8
adjuger	102
adjupète	4
adjuration	11
adjurer	108
adjuvant	4
adjuvant	2
admettre	3502
administrant	2
administrateur	283
administratif	448
administratif	19
administration	1203
administrativement	6
administrer	381
administré	58
administré	31
admirable	1209
admirablement	183
admirateur	28
admirateur	314
admiratif	242
admiration	1193
admirativement	6
admirer	3399
admis	109
admis	14
admissibilité	2
admissible	27
admissible	2
admission	204
admixtion	2
admonestation	15
admonester	19
admonition	10
ado	124
adobe	7
adolescence	507
adolescent	318
adolescent	1067
adon	5
adonc	2
adoncques	2
adonies	2
adonis	3
adoniser	2
adonner	241
adoptable	2
adoptant	2
adoptant	2
adopter	1515
adoptif	196
adoption	184
adopté	59
adopté	25
adorable	1287
adorablement	10
adorant	6
adorateur	108
adoration	186
adorer	9243
adorner	15
ados	106
adosser	567
adossé	11
adoubement	10
adouber	16
adouci	11
adoucir	421
adoucissant	4
adoucissant	5
adoucissement	19
adoucisseur	10
adragant	2
adresse	3552
adresser	4230
adret	2
adriatique	4
adroit	226
adroitement	73
adrénaline	133
adulateur	2
adulateur	2
adulation	36
aduler	72
adultat	4
adulte	768
adulte	1638
adultère	105
adultère	240
adultération	2
adultérer	4
adultérin	11
adénocarcinome	1
adénome	2
adéquat	291
adéquation	11
advenir	531
adventice	6
advenu	2
adverbe	27
adversaire	1438
adverse	185
adversité	115
aegipan	2
affût	418
affûtage	14
affûter	160
affûteur	2
affabilité	41
affable	128
affablement	6
affabulateur	1
affabulation	53
affabuler	14
affacturage	1
affadir	43
affadissement	6
affaibli	110
affaiblir	517
affaiblissement	64
affaire	21824
affairement	17
affairer	525
affairisme	2
affairiste	6
affairiste	4
affairé	91
affairé	34
affaissement	60
affaisser	392
affalement	6
affaler	498
affamant	2
affamer	366
affamé	384
affamé	179
affect	1
affectation	281
affecter	1428
affectif	163
affection	1374
affectionner	145
affectionné	13
affectivement	14
affectivité	15
affecté	141
affectueusement	139
affectueux	553
affermir	190
affermissement	4
affichage	105
affichant	2
affiche	979
afficher	887
affichette	45
afficheur	10
affichiste	6
affidavit	1
affidé	2
affidé	10
affiler	8
affiliation	14
affilier	39
affilié	16
affilié	19
affilé	210
affin	3
affinage	2
affinement	6
affiner	139
affinité	184
affiné	8
affiquet	2
affirmatif	271
affirmation	262
affirmative	27
affirmativement	24
affirmer	2532
affixé	2
affleurant	4
affleurement	28
affleurer	199
affliction	111
affligeant	83
affliger	266
affligé	75
affluence	99
affluent	15
affluent	34
affluer	295
afflux	84
affolant	93
affolement	219
affoler	950
affolé	397
affouage	4
affouillement	4
affouiller	4
affranchi	69
affranchi	115
affranchir	426
affranchissement	17
affre	90
affreusement	272
affreux	2413
affreux	297
affriander	8
affriolant	27
affrioler	12
affront	193
affrontement	206
affronter	2155
affronté	8
affréter	40
affréteur	2
affublement	4
affubler	228
affublé	15
afférent	13
affurer	48
affusion	2
afféterie	13
affété	2
afghan	39
afghan	27
aficionado	27
afin d	725
afin de	2076
afin qu	396
afin que d	2
afin que	756
afin	50
africain	558
africain	257
afrikaans	1
afrikaans	3
afrikaner	9
afro-américain	33
afro-américain	31
afro-cubain	4
afro-cubain	4
afro	32
after-shave	54
aga	195
agace	13
agacement	246
agacer	1173
agacerie	17
agaceur	2
agame	1
agami	2
agapanthe	2
agape	22
agar-agar	2
agasse	2
agate	39
agaçant	224
agave	15
age	128
agence	1447
agencement	73
agencer	104
agenda	391
agenouillement	8
agenouiller	927
agenouillé	80
agent	6342
aggiornamento	2
agglo	2
agglomérat	15
agglomération	78
agglomérer	52
aggloméré	15
aggloméré	14
agglutinatif	2
agglutination	4
agglutinement	2
agglutiner	221
agglutinogène	2
aggravant	19
aggravation	33
aggraver	609
aggravée	2
agha	2
agile	229
agilité	155
agio	2
agioteur	2
agir	14223
agissait	1
agissant	22
agissement	82
agitant	6
agitateur	90
agitation	818
agitato	10
agiter	3373
agité	468
agité	97
aglagla	2
agnat	2
agnathe	2
agneau	660
agnel	15
agnelage	2
agneler	15
agnelet	2
agneline	2
agnosie	1
agnostique	17
agnostique	4
agnus-dei	2
agnus dei	4
agonie	610
agonique	4
agonir	32
agonisant	111
agonisant	117
agoniser	208
agoniste	2
agora	26
agoraphobe	1
agoraphobe	2
agoraphobie	15
agouti	15
agoyate	13
agrafe	130
agrafer	137
agrafeur	22
agrainage	2
agraire	27
agrandir	747
agrandissement	96
agrandisseur	12
agrarien	4
agresser	535
agresseur	16
agresseur	260
agressif	850
agression	531
agressivement	38
agressivité	245
agreste	26
agricher	4
agricole	335
agriculteur	74
agriculture	158
agrippant	4
agrippement	2
agripper	677
agro-alimentaire	3
agro	6
agronome	11
agronomie	4
agronomique	2
agroville	2
agrès	32
agréable	2435
agréable	83
agréablement	155
agréer	194
agrég	2
agrégat	19
agrégatif	4
agrégatif	15
agrégation	98
agrégative	2
agréger	28
agrégé	6
agrégé	37
agrume	23
agrément	268
agrémenter	202
agrémenté	4
agréé	29
agréé	2
aguerri	44
aguerrir	41
